"India/State/ UT",Total Schools,Number of schools having drinking water facility within school premises â€“others,"No. of otherschools nothaving drinkingwater facilitywithin schoolpremises","% of otherschools havingdrinking waterfacility withinschool premises",,,,,,
"",,"Any source ofdrinkingwater",Tap Water,Packed Water,Hand Pump,Well,"Unprotected Well","Othersources",,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11)
India,56402,49950,17087,1233,27140,1808,212,2470,6452,88.56
Andaman and Nicobar Islands,1,1,1,0,0,0,0,0,0,100
Andhra Pradesh,400,389,305,0,9,1,0,74,11,97.25
Arunachal Pradesh,47,40,31,0,3,2,3,1,7,85.11
Assam,7952,4617,182,41,3396,321,132,545,3335,58.06
Bihar,9647,9553,3313,85,6129,4,1,21,94,99.03
Chandigarh,27,27,27,0,0,0,0,0,0,100
Chhattisgarh,327,325,76,0,249,0,0,0,2,99.39
Dadra and Nagar Haveli,1,1,0,0,0,0,0,1,0,100
Daman and Diu,1,1,1,0,0,0,0,0,0,100
Delhi,0,0,0,0,0,0,0,0,0,0
Goa,0,0,0,0,0,0,0,0,0,0
Gujarat,4,4,3,0,1,0,0,0,0,100
Haryana,1079,1077,905,7,43,31,0,91,2,99.81
Himachal Pradesh,1,1,1,0,0,0,0,0,0,100
Jammu and Kashmir,47,45,40,0,2,2,0,1,2,95.74
Jharkhand,7377,6989,1646,87,4588,274,9,385,388,94.74
Karnataka,28,23,20,0,2,0,1,0,5,82.14
Kerala,1339,1335,535,39,32,681,10,38,4,99.7
Ladakh,0,0,0,0,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,1952,1671,1028,5,315,20,9,294,281,85.6
Maharashtra,955,947,790,50,48,26,0,33,8,99.16
Manipur,181,172,49,21,9,12,1,80,9,95.03
Meghalaya,466,192,158,2,3,7,1,21,274,41.2
Mizoram,93,85,71,1,0,1,0,12,8,91.4
Nagaland,0,0,0,0,0,0,0,0,0,0
Odisha,2507,2507,538,810,988,171,0,0,0,100
Puducherry,0,0,0,0,0,0,0,0,0,0
Punjab,280,280,230,0,7,1,0,42,0,100
Rajasthan,2500,2352,1618,20,262,104,22,326,148,94.08
Sikkim,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,630,536,499,10,1,2,0,24,94,85.08
Telangana,205,198,142,5,23,7,0,21,7,96.59
Tripura,247,199,90,0,75,10,0,24,48,80.57
Uttar Pradesh,14570,13796,3729,40,9811,12,2,202,774,94.69
Uttarakhand,490,486,276,1,194,4,1,10,4,99.18
West Bengal,3048,2101,783,9,950,115,20,224,947,68.93
