India/ State /UT,Projected population by age group â€“ Scheduled Castes (SC),,,,,,,,
"",Age 3-5,Age 6-10,Age 11-13,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10)
India,7915262,7212120,15127382,10854920,9992828,20847748,6481909,6045956,12527866
Andaman and Nicobar Islands,-,-,-,-,-,-,-,-,-
Andhra Pradesh,247485,231740,479225,350173,336360,686533,221913,221441,443354
Arunachal Pradesh,-,-,-,-,-,-,-,-,-
Assam,73900,68305,142204,107125,101309,208434,73494,71805,145299
Bihar,945732,876374,1822106,1277403,1196044,2473448,702482,650277,1352759
Chandigarh,8746,7545,16291,13114,10978,24093,8042,6757,14798
Chhattisgarh,144342,136243,280585,189687,182766,372453,110255,107737,217992
Dadra and Nagar Haveli,239,246,485,340,288,628,215,214,429
Daman and Diu,210,177,387,289,293,582,225,198,423
Delhi,100985,88397,189382,143528,125314,268842,89321,80132,169453
Goa,833,814,1647,1226,1140,2366,726,724,1450
Gujarat,144983,124952,269935,204908,178248,383157,127900,114489,242389
Haryana,214645,188452,403097,294453,256123,550576,176005,153380,329385
Himachal Pradesh,51608,47999,99608,75202,70572,145774,48148,44892,93039
Jammu and Kashmir,22400,20285,42685,43295,36972,80268,34509,29545,64053
Jharkhand,188725,177981,366706,263105,250670,513775,155361,148556,303917
Karnataka,356999,333146,690145,500552,474814,975366,303734,290945,594679
Kerala,74853,71460,146313,106997,102911,209907,70153,67053,137206
Ladakh,6,1,7,10,5,14,6,5,11
Lakshadweep,-,-,-,-,-,-,-,-,-
Madhya Pradesh,529564,483476,1013039,697586,641382,1338968,403163,376949,780112
Maharashtra,404631,365796,770427,590975,542116,1133092,380147,351585,731731
Manipur,2634,2396,5030,4671,4395,9066,3285,3090,6375
Meghalaya,491,497,988,830,739,1569,594,572,1166
Mizoram,18,27,45,49,44,92,34,24,57
Nagaland,-,-,-,-,-,-,-,-,-
Odisha,241792,229519,471311,334575,318113,652688,215565,207046,422611
Puducherry,7016,6680,13696,11012,10267,21280,6996,6644,13640
Punjab,283581,260700,544280,412546,373379,785925,261702,233806,495508
Rajasthan,582507,509457,1091964,785900,699176,1485076,456705,415040,871745
Sikkim,731,715,1446,1291,1223,2515,979,905,1885
Tamil Nadu,407957,378298,786255,599038,563096,1162134,370632,358304,728936
Telangana,153538,141292,294830,222406,209685,432091,147102,144726,291828
Tripura,16568,15409,31977,24509,22962,47471,18118,17257,35375
Uttar Pradesh,2097580,1867444,3965023,2685082,2405006,5090089,1498808,1359802,2858610
Uttarakhand,72746,63777,136523,104034,92913,196947,67214,61028,128242
West Bengal,537220,512519,1049739,809007,783525,1592532,528377,521029,1049407
