"India/State/ UT",Enrolment â€“ Others,,,,,,,,,,,
"",Pre-Primary,Primary (1 to 5),Upper Primary (6-8),Elementary (1-8),,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
India,395160,304558,699718,2679526,2314032,4993558,760662,701476,1462138,3440188,3015508,6455696
Andaman and Nicobar Islands,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,356,301,657,6678,6222,12900,2012,2762,4774,8690,8984,17674
Arunachal Pradesh,616,558,1174,1686,1395,3081,379,297,676,2065,1692,3757
Assam,9748,9749,19497,133084,128438,261522,15347,16971,32318,148431,145409,293840
Bihar,138403,97272,235675,743193,602735,1345928,261558,239300,500858,1004751,842035,1846786
Chandigarh,1235,982,2217,2424,1648,4072,461,286,747,2885,1934,4819
Chhattisgarh,20,6,26,6091,4522,10613,1991,1530,3521,8082,6052,14134
"Daman and Diu andDadra and Nagar Haveli",0,0,0,0,0,0,0,0,0,0,0,0
Delhi,0,0,0,0,0,0,0,0,0,0,0,0
Goa,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,0,0,0,189,255,444,175,161,336,364,416,780
Haryana,9861,7711,17572,47109,34848,81957,13333,9886,23219,60442,44734,105176
Himachal Pradesh,0,0,0,7,5,12,0,0,0,7,5,12
Jammu and Kashmir,1194,986,2180,3800,2831,6631,961,858,1819,4761,3689,8450
Jharkhand,125364,92607,217971,466042,346045,812087,165828,127037,292865,631870,473082,1104952
Karnataka,10,6,16,197,101,298,158,120,278,355,221,576
Kerala,15788,14818,30606,46169,41663,87832,7562,6695,14257,53731,48358,102089
Ladakh,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,418,491,909,42259,40888,83147,16245,15970,32215,58504,56858,115362
Maharashtra,8145,6940,15085,48413,40252,88665,13447,10047,23494,61860,50299,112159
Manipur,2824,2633,5457,6570,6052,12622,1312,1214,2526,7882,7266,15148
Meghalaya,5606,5241,10847,9528,9447,18975,2070,2835,4905,11598,12282,23880
Mizoram,641,674,1315,1447,1289,2736,473,482,955,1920,1771,3691
Nagaland,14,13,27,23,30,53,0,0,0,23,30,53
Odisha,12329,10056,22385,52615,38921,91536,13797,9728,23525,66412,48649,115061
Puducherry,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,39,46,85,625,359,984,94,156,250,719,515,1234
Rajasthan,1003,946,1949,73917,68581,142498,10632,10174,20806,84549,78755,163304
Sikkim,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,8950,7742,16692,19818,16729,36547,3594,3134,6728,23412,19863,43275
Telangana,89,88,177,3307,2891,6198,906,1466,2372,4213,4357,8570
Tripura,1683,1444,3127,6478,4918,11396,776,258,1034,7254,5176,12430
Uttar Pradesh,4401,4401,8802,827397,802331,1629728,200799,215757,416556,1028196,1018088,2046284
Uttarakhand,606,527,1133,28493,24467,52960,8042,7771,15813,36535,32238,68773
West Bengal,45817,38320,84137,101967,86169,188136,18710,16581,35291,120677,102750,223427
