"India/State /UT",Number of Schools â€“ Government Aided,,,,,,,,,,
"",Total,Primary,Upper Primary,Secondary,Higher Secondary,,,,,,
"",,(1 to 5),(1-8),(6-8),(1-10),(6-10),(9-10),(1-12),(6-12),(9-12),(11-12)
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12)
India,82480,17692,12010,9087,7359,8613,8149,5836,6977,4139,2618
Andaman and Nicobar Islands,2,0,0,0,0,0,0,2,0,0,0
Andhra Pradesh,1542,879,163,1,7,362,0,0,1,0,129
Arunachal Pradesh,68,12,22,0,25,0,0,9,0,0,0
Assam,3841,1,6,2750,6,105,734,4,24,5,206
Bihar,742,40,348,27,66,98,82,5,25,39,12
Chandigarh,7,0,0,0,0,0,0,6,1,0,0
Chhattisgarh,417,204,40,67,9,1,1,24,39,32,0
"Dadra and Nagar Haveli andDaman and Diu",8,0,0,0,5,0,0,1,2,0,0
Delhi,247,45,11,11,10,15,0,90,64,1,0
Goa,557,115,21,8,175,143,2,1,0,0,92
Gujarat,5590,64,167,294,1,9,1834,13,74,3100,34
Haryana,16,1,0,0,3,1,0,10,1,0,0
Himachal Pradesh,0,0,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,1,0,0,0,1,0,0,0,0,0,0
Jharkhand,1175,496,482,15,15,121,7,16,9,3,11
Karnataka,7110,195,2503,46,87,51,3365,12,9,244,598
Kerala,7183,3373,1803,570,93,290,103,112,565,269,5
Ladakh,28,24,3,0,1,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,740,308,123,39,10,3,22,67,81,87,0
Maharashtra,24037,3183,4252,0,6562,3941,23,4454,828,21,773
Manipur,583,399,67,27,35,38,15,1,0,0,1
Meghalaya,4172,2500,14,925,6,132,466,6,23,42,58
Mizoram,230,0,0,74,0,0,137,0,0,0,19
Nagaland,0,0,0,0,0,0,0,0,0,0,0
Odisha,5807,293,37,1496,12,2018,1303,0,1,0,647
Puducherry,33,3,0,0,18,0,0,12,0,0,0
Punjab,450,50,34,3,47,26,1,192,97,0,0
Rajasthan,0,0,0,0,0,0,0,0,0,0,0
Sikkim,19,6,2,0,1,2,0,4,4,0,0
Tamil Nadu,8323,4999,1472,31,27,557,3,107,1120,7,0
Telangana,700,288,125,0,48,209,0,0,0,0,30
Tripura,43,8,2,0,4,0,0,21,8,0,0
Uttar Pradesh,8113,153,302,2510,82,436,39,617,3712,261,1
Uttarakhand,608,9,9,191,1,48,12,40,268,28,2
West Bengal,88,44,2,2,2,7,0,10,21,0,0
