"India/State /UT",Number of teachers by Classes Taught â€“ Others,,,,,,,,,
"",Total,"Pre-PrimaryOnly","Pre-PrimaryandPrimary","PrimaryOnly","PrimaryandUpperPrimary","UpperPrimaryOnly","UpperPrimaryandSecondary","SecondaryOnly","SecondaryandHigherSecondary","HigherSecondaryOnly"
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11)
India,287399,3541,11791,132068,35086,87127,4316,10017,898,2555
Andaman and Nicobar Islands,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,648,0,7,262,273,78,15,13,0,0
Arunachal Pradesh,360,8,25,222,51,54,0,0,0,0
Assam,18844,12,140,10669,106,2873,308,3598,23,1115
Bihar,71555,590,1251,17368,11824,39044,460,652,85,281
Chandigarh,297,42,20,95,42,66,19,4,8,1
Chhattisgarh,930,1,3,604,49,273,0,0,0,0
"Dadra and Nagar Haveli andDaman and Diu",25,0,0,9,2,2,0,5,4,3
Delhi,0,0,0,0,0,0,0,0,0,0
Goa,0,0,0,0,0,0,0,0,0,0
Gujarat,30,0,0,10,0,6,1,8,1,4
Haryana,6563,104,57,4194,524,1588,28,41,22,5
Himachal Pradesh,5,0,0,5,0,0,0,0,0,0
Jammu and Kashmir,714,34,56,304,100,160,13,34,4,9
Jharkhand,51863,632,1765,22321,9199,16152,819,858,16,101
Karnataka,45,0,0,15,4,9,11,6,0,0
Kerala,7378,361,57,4503,378,1818,84,139,15,23
Ladakh,0,0,0,0,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,6264,11,32,2534,731,2941,10,1,3,1
Maharashtra,4032,96,139,2468,266,703,100,244,6,10
Manipur,1247,57,144,615,247,184,0,0,0,0
Meghalaya,2392,59,294,790,183,219,108,522,14,203
Mizoram,540,18,17,155,58,68,0,153,0,71
Nagaland,6,2,1,3,0,0,0,0,0,0
Odisha,8899,68,315,5130,1749,806,211,492,16,112
Puducherry,0,0,0,0,0,0,0,0,0,0
Punjab,78,1,18,34,0,24,1,0,0,0
Rajasthan,7164,34,127,5362,530,875,121,58,37,20
Sikkim,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,3559,321,101,2020,404,477,57,114,27,38
Telangana,377,2,20,251,88,15,1,0,0,0
Tripura,1076,28,92,852,12,46,15,13,5,13
Uttar Pradesh,78435,21,126,48629,7518,16505,1818,2787,549,482
Uttarakhand,2359,12,22,1570,96,487,10,122,5,35
West Bengal,11714,1027,6962,1074,652,1654,106,153,58,28
