"","Table 5.5: Enrolment of students by school management and level of school education, 2022-23: Others",,,,,,,,,,,,,,,,,,,,,,
India/State /UT,,Enrolment â€“ Other Schools,,,,,,,,,,,,,,,,,,,,,
"",,,Total,,"Pre-Primary","Primary(1 to 5)",,Upper,,"Elementary(1-8)","Secondary(9-10)",,Higher,,,,,,,,,,
"",India/State /UT,Pre-,Primary,Elementary,Secondary,,,,,,,,,,,,,,,,,,
"",,,(Pre-primary,Primary,Secondary,,,,,,,,,,,,,,,,,,
"",,,,,,Primary,(1 to 5),(1-8),(9-10),,,,,,,,,,,,,,
"",,,to 12),(6-8),(11-12),,,,,,,,,,,,,,,,,,
"",(1),,,(2),,,(3),,,(4),,,(5),,,(6),,,(7),,,(8),
India,5190940,422459,3054930,1149911,4204841,389980,173660,,,,,,,,,,,,,,,,
India,,,,,,,,,,,,,,,,,,,,,,,
Andaman and Nicobar Islands,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Andhra Pradesh,15640,1012,9865,4442,14307,321,0,,,,,,,,,,,,,,,,
Arunachal Pradesh,4630,958,3085,587,3672,0,0,,,,,,,,,,,,,,,,
Assam,227996,10942,146363,18114,164477,35573,17004,,,,,,,,,,,,,,,,
Bihar,1247289,148439,772205,287393,1059598,27136,12116,,,,,,,,,,,,,,,,
Chandigarh,6484,2678,3099,622,3721,69,16,,,,,,,,,,,,,,,,
Chhattisgarh,9683,0,7262,2421,9683,0,0,,,,,,,,,,,,,,,,
"Dadra and Nagar Haveli andDaman and Diu",178,0,133,15,148,11,19,,,,,,,,,,,,,,,,
Delhi,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Goa,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Gujarat,1108,0,472,309,781,238,89,,,,,,,,,,,,,,,,
Haryana,87013,11262,56618,18392,75010,566,175,,,,,,,,,,,,,,,,
Himachal Pradesh,45,0,45,0,45,0,0,,,,,,,,,,,,,,,,
Jammu and Kashmir,7279,1307,3909,1500,5409,512,51,,,,,,,,,,,,,,,,
Jharkhand,841837,158831,443776,210027,653803,27392,1811,,,,,,,,,,,,,,,,
Karnataka,678,64,407,152,559,55,0,,,,,,,,,,,,,,,,
Kerala,87246,22779,53652,9621,63273,1040,154,,,,,,,,,,,,,,,,
Ladakh,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Lakshadweep,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Madhya Pradesh,63436,202,43102,20023,63125,91,18,,,,,,,,,,,,,,,,
Maharashtra,38400,1204,28458,6674,35132,2001,63,,,,,,,,,,,,,,,,
Manipur,11632,2673,7765,1194,8959,0,0,,,,,,,,,,,,,,,,
Meghalaya,37125,8456,16703,4269,20972,5267,2430,,,,,,,,,,,,,,,,
Mizoram,6764,1095,2925,1182,4107,1141,421,,,,,,,,,,,,,,,,
Nagaland,88,41,47,0,47,0,0,,,,,,,,,,,,,,,,
Odisha,82809,3441,56190,14850,71040,5923,2405,,,,,,,,,,,,,,,,
Puducherry,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Punjab,890,184,594,112,706,0,0,,,,,,,,,,,,,,,,
Rajasthan,147208,2351,121905,19401,141306,2464,1087,,,,,,,,,,,,,,,,
Sikkim,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Tamil Nadu,26946,9431,14914,2177,17091,355,69,,,,,,,,,,,,,,,,
Telangana,4168,80,2542,1492,4034,54,0,,,,,,,,,,,,,,,,
Tripura,14171,2395,10512,851,11363,284,129,,,,,,,,,,,,,,,,
Uttar Pradesh,1384317,7746,1005608,266190,1271798,84152,20621,,,,,,,,,,,,,,,,
Uttarakhand,56816,524,40727,13445,54172,1626,494,,,,,,,,,,,,,,,,
West Bengal,779064,24364,202047,244456,446503,193709,114488,,,,,,,,,,,,,,,,
India/State /UT
India/State /UT
"Pre-Primary"
Pre-
Primary
"Primary(1 to 5)"
Primary
(1 to 5)
"Elementary(1-8)"
Elementary
(1-8)
"Secondary(9-10)"
Secondary
(9-10)
India
India
