India/State/ UT,Enrolment â€“ All Types of Management,,,,,,,,,,,
"",Secondary (9-10),Higher Secondary (11-12),Primary to Higher Secondary (1-12),Total (Pre-Primary to Higher Secondary),,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(14),(15),(16),(17),(18),(19),(20),(21),(22),(23),(24),(25)
India,19705374,18228720,37934094,14162481,13628177,27790658,125414798,116209112,241623910,130878040,120913682,251791722
Andaman and Nicobar Islands,5880,5836,11716,6110,5734,11844,33951,32157,66108,38483,36624,75107
Andhra Pradesh,712847,663460,1376307,468381,490506,958887,4230891,3948629,8179520,4469270,4152922,8622192
Arunachal Pradesh,22166,22590,44756,15883,17457,33340,151144,153237,304381,161813,163205,325018
Assam,462191,541081,1003272,238885,258725,497610,3314261,3420243,6734504,3512775,3604125,7116900
Bihar,1698913,1781161,3480074,811117,834270,1645387,12259628,11888693,24148321,12503699,12039999,24543698
Chandigarh,22469,19572,42041,24921,20843,45764,131340,114307,245647,144106,126204,270310
Chhattisgarh,401921,419694,821615,296489,354183,650672,2732930,2732891,5465821,2890814,2873396,5764210
"Dadra and Nagar Haveli andDaman and Diu",10620,9890,20510,6704,6880,13584,68890,62859,131749,73299,66668,139967
Delhi,387244,345441,732685,351978,327213,679191,2294284,2039174,4333458,2446099,2182415,4628514
Goa,23918,22268,46186,20429,20422,40851,143657,135050,278707,159640,149954,309594
Gujarat,910221,739981,1650202,617239,547069,1164308,6088673,5302525,11391198,6148812,5350768,11499580
Haryana,506141,408883,915024,399771,343202,742973,3039737,2501855,5541592,3142354,2584965,5727319
Himachal Pradesh,114262,104346,218608,108870,100412,209282,677891,618900,1296791,742866,676522,1419388
Jammu and Kashmir,180328,159569,339897,149074,133284,282358,1178964,1068427,2247391,1370464,1243871,2614335
Jharkhand,469974,487393,957367,301335,309950,611285,3530887,3398005,6928892,3689161,3520100,7209261
Karnataka,1041160,992357,2033517,647310,694944,1342254,6172011,5850585,12022596,6374089,6024565,12398654
Kerala,499546,478815,978361,441110,444999,886109,2888209,2784738,5672947,3150336,3035024,6185360
Ladakh,3625,3931,7556,2864,3224,6088,23962,24275,48237,29500,29341,58841
Lakshadweep,617,648,1265,1040,1022,2062,5799,5601,11400,6411,6176,12587
Madhya Pradesh,1150514,1020835,2171349,786286,729618,1515904,7570834,6916494,14487328,7985106,7256574,15241680
Maharashtra,1874830,1643977,3518807,1474209,1300590,2774799,11029694,9866676,20896370,11162759,9987307,21150066
Manipur,42274,41854,84128,39701,38512,78213,304851,293467,598318,334782,320838,655620
Meghalaya,47590,60597,108187,25530,35573,61103,428930,459448,888378,524607,550359,1074966
Mizoram,18931,20382,39313,11875,13489,25364,128716,127588,256304,147344,145859,293203
Nagaland,24515,26772,51287,17792,19847,37639,171599,171816,343415,208957,206698,415655
Odisha,626794,603018,1229812,412906,424805,837711,3903221,3708450,7611671,3924690,3725235,7649925
Puducherry,20535,19348,39883,17306,18653,35959,114066,109272,223338,128646,122835,251481
Punjab,442378,379196,821574,408556,345471,754027,2768111,2373595,5141706,3180477,2734746,5915223
Rajasthan,1312941,1116206,2429147,1113124,931519,2044643,8942550,7848797,16791347,9456795,8250367,17707162
Sikkim,9784,10080,19864,8131,9868,17999,54822,54037,108859,64962,63242,128204
Tamil Nadu,1054727,1002773,2057500,836704,907796,1744500,6030043,5778993,11809036,6595948,6284162,12880110
Telangana,553091,529460,1082551,464328,446413,910741,3463114,3232154,6695268,3641756,3385330,7027086
Tripura,50011,51735,101746,41811,43870,85681,332778,330731,663509,349114,345425,694539
Uttar Pradesh,3355710,2831025,6186735,2495821,2072831,4568652,21719842,19382079,41101921,22044636,19627569,41672205
Uttarakhand,196217,175688,371905,167373,157464,324837,1191999,1065304,2257303,1246842,1110362,2357204
West Bengal,1450489,1488858,2939347,931518,1217519,2149037,8292519,8408060,16700579,8826628,8929930,17756558
