India/State /UT,Number of teachers by Gender and Classes Taught â€“ Others,,,,,,,,,,,
"",Total,Pre-Primary Only,Pre-Primary & Primary,Primary Only,,,,,,,,
"",Male,Female,Total,Male,Female,Total,Male,Female,Total,Male,Female,Total
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13)
India,135513,128795,264308,365,3050,3415,8181,14276,22457,53077,60962,114039
Andaman & Nicobar Islands,0,0,0,0,0,0,0,0,0,0,0,0
Andhra Pradesh,186,313,499,0,3,3,6,36,42,61,98,159
Arunachal Pradesh,132,229,361,1,17,18,7,33,40,67,137,204
Assam,8026,4132,12158,2,10,12,115,62,177,4526,2322,6848
Bihar,30460,20539,50999,116,452,568,384,775,1159,6832,7545,14377
Chandigarh,31,373,404,0,83,83,2,31,33,1,126,127
Chhattisgarh,268,448,716,0,0,0,1,0,1,190,275,465
"Dadra & Nagar Haveli andDaman & Diu",22,0,22,0,0,0,0,0,0,0,0,0
Delhi,0,0,0,0,0,0,0,0,0,0,0,0
Goa,0,0,0,0,0,0,0,0,0,0,0,0
Gujarat,27,24,51,5,0,5,7,0,7,5,7,12
Haryana,1113,4267,5380,1,143,144,15,125,140,534,2643,3177
Himachal Pradesh,2,2,4,0,0,0,0,0,0,2,2,4
Jammu & Kashmir,210,207,417,2,11,13,10,19,29,97,81,178
Jharkhand,21602,24947,46549,84,778,862,591,1700,2291,7144,11663,18807
Karnataka,10,17,27,0,0,0,0,0,0,5,9,14
Kerala,351,6803,7154,4,625,629,7,253,260,107,3506,3613
Ladakh,0,0,0,0,0,0,0,0,0,0,0,0
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,1683,2915,4598,1,0,1,16,32,48,810,1411,2221
Maharashtra,258,1522,1780,2,57,59,9,58,67,124,988,1112
Manipur,394,630,1024,2,41,43,20,106,126,169,302,471
Meghalaya,486,1937,2423,5,50,55,45,295,340,112,669,781
Mizoram,154,237,391,1,13,14,3,12,15,23,75,98
Nagaland,1,8,9,0,0,0,0,4,4,1,4,5
Odisha,2222,6160,8382,4,119,123,71,394,465,993,3540,4533
Puducherry,0,0,0,0,0,0,0,0,0,0,0,0
Punjab,54,30,84,0,0,0,9,8,17,29,16,45
Rajasthan,4729,2828,7557,7,28,35,41,73,114,3566,2069,5635
Sikkim,0,0,0,0,0,0,0,0,0,0,0,0
Tamil Nadu,105,1425,1530,2,128,130,0,76,76,52,884,936
Telangana,97,148,245,0,3,3,2,8,10,59,74,133
Tripura,744,258,1002,8,6,14,41,31,72,607,210,817
Uttar Pradesh,41379,29462,70841,12,31,43,65,118,183,24231,18112,42343
Uttarakhand,1193,1196,2389,2,8,10,8,19,27,771,780,1551
West Bengal,19574,17738,37312,104,444,548,6706,10008,16714,1959,3414,5373
