India/State/ UT,Enrolment â€“ Government Aided,,,,,,,,,,,
"",Secondary (9-10),Higher Secondary (11-12),Primary to Higher Secondary (1-12),Total (Pre-Primary to Higher Secondary),,,,,,,,
"",Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total,Boys,Girls,Total
(1),(14),(15),(16),(17),(18),(19),(20),(21),(22),(23),(24),(25)
India,3812334,3477354,7289688,3036670,2895127,5931797,12950329,12250631,25200960,13124709,12423132,25547841
Andaman and Nicobar Islands,212,188,400,228,229,457,901,863,1764,930,888,1818
Andhra Pradesh,11439,14696,26135,7527,7683,15210,56854,67157,124011,57608,67876,125484
Arunachal Pradesh,1294,1465,2759,376,520,896,9981,10541,20522,10392,10985,21377
Assam,24857,30387,55244,12763,13761,26524,81628,90245,171873,81849,90504,172353
Bihar,15115,17864,32979,10315,10739,21054,58965,65618,124583,58965,65618,124583
Chandigarh,746,605,1351,1948,1130,3078,4436,3588,8024,4691,3966,8657
Chhattisgarh,6954,7102,14056,5034,6611,11645,34587,34889,69476,34730,35077,69807
"Dadra and Nagar Haveli andDaman and Diu",860,781,1641,811,877,1688,3511,3194,6705,3619,3290,6909
Delhi,15827,13639,29466,13348,11927,25275,71357,66710,138067,71898,67346,139244
Goa,19924,18682,38606,15977,16974,32951,103637,99114,202751,113299,108904,222203
Gujarat,514447,455566,970013,242606,276784,519390,831158,793759,1624917,834767,797180,1631947
Haryana,106,282,388,38,434,472,311,1259,1570,311,1259,1570
Himachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0
Jammu and Kashmir,14,9,23,0,0,0,71,78,149,86,98,184
Jharkhand,19111,25514,44625,6076,8743,14819,124437,146826,271263,130034,152667,282701
Karnataka,253029,242008,495037,114983,116704,231687,747019,710000,1457019,748268,711121,1459389
Kerala,256921,251343,508264,192808,196702,389510,1280713,1269362,2550075,1381070,1368182,2749252
Ladakh,20,20,40,0,0,0,440,254,694,442,256,698
Lakshadweep,0,0,0,0,0,0,0,0,0,0,0,0
Madhya Pradesh,14714,11517,26231,13925,11327,25252,48854,43155,92009,50087,44275,94362
Maharashtra,1291866,1174694,2466560,1054765,990496,2045261,5067292,4666628,9733920,5086594,4686014,9772608
Manipur,1520,1499,3019,585,421,1006,12637,12476,25113,13366,13203,26569
Meghalaya,25979,33175,59154,9084,14092,23176,140506,158229,298735,164493,180796,345289
Mizoram,4078,4797,8875,2084,2550,4634,9205,10804,20009,9205,10804,20009
Nagaland,0,0,0,0,0,0,0,0,0,0,0,0
Odisha,176707,171111,347818,230344,237146,467490,488718,482027,970745,488729,482030,970759
Puducherry,1568,2743,4311,565,1784,2349,7120,13193,20313,7843,14202,22045
Punjab,20342,15478,35820,27822,18582,46404,98673,79012,177685,100996,81361,182357
Rajasthan,0,0,0,0,0,0,0,0,0,0,0,0
Sikkim,135,94,229,86,68,154,448,316,764,457,319,776
Tamil Nadu,221518,230659,452177,177520,222603,400123,1006401,1088155,2094556,1007689,1089658,2097347
Telangana,4311,8446,12757,3239,4720,7959,28870,47168,76038,30179,48766,78945
Tripura,3086,1995,5081,4560,3613,8173,15040,11820,26860,15123,11892,27015
Uttar Pradesh,878302,715632,1593934,859606,690046,1549652,2527551,2183999,4711550,2527705,2184099,4711804
Uttarakhand,24349,22127,46476,24160,24203,48363,74897,74777,149674,74912,74802,149714
West Bengal,2983,3236,6219,3487,3658,7145,14111,15415,29526,14372,15694,30066
